mesh	instances	tris_each	tris_total	footprint_m2	walkable_m2	bw_y_min	bw_y_max	sample_bw_x	sample_bw_y	sample_bw_z	archetype_paths
GA-Props:GA-Viewscreens00	33	268	8844	914.839	459.121	0.910	11.814	46.720	11.814	-1.655	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
GA-Props:GA-Wires00	16	532	8512	63.122	19.449	-1.249	9.770	98.574	-1.249	63.157	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
JF-Props:JF-WallTorch00	10	332	3320	1.175	0.403	3.900	4.540	-38.680	4.540	52.100	JF-Props.JF-WallTorch00_Pf0.JF-WallTorch00_Pf0_Arc0.StaticMeshComponent0
GA-Interior:GA-hallway_decor_torch_01	9	180	1620	41.180	17.405	4.150	4.150	40.310	4.150	52.280	GA-Interior.GA-hallway_decor_torch_01_Pf0.GA-hallway_decor_torch_01_Pf0_Arc2.StaticMeshComponent0
GA-Interior:GA-hallway_decor_torch_00	8	188	1504	30.219	12.278	0.320	1.770	51.840	0.320	41.270	GA-Interior.GA-hallway_decor_torch_00_Pf0.GA-hallway_decor_torch_00_Pf0_Arc0.StaticMeshComponent0
GA-Props:GA-Monitor01	8	468	3744	69.784	15.409	1.320	1.630	-26.870	1.630	-3.700	GA-Props.GA-Monitor01_Pf0.GA-Monitor01_Pf0_Arc0.StaticMeshComponent0
GA-Props:GA-PuzzleStation00	6	346	2076	32.767	14.356	0.320	0.320	48.760	0.320	73.320	GA-Props.GA-PuzzleStation00_Pf0.GA-PuzzleStation00_Pf0_Arc1.StaticMeshComponent0
Em-Props:EM-WallLight00	5	324	1620	40.722	15.634	5.470	5.470	-86.940	5.470	14.500	Em-Props.EM-WallLight00_Pf0.EM-WallLight00_Pf0_Arc2.StaticMeshComponent0
GA-Props:GA-WaterTower00	5	596	2980	58.212	28.976	0.330	1.920	30.289	1.920	73.209	GA-Props.GA-WaterTower00_Pf0.GA-WaterTower00_Pf0_Arc1.StaticMeshComponent0
JF-Props:JF-Brazier_OIL00	4	1251	5004	3.831	1.799	2.460	2.460	-45.660	2.460	53.900	JF-Props.JF-Brazier_OIL00_Pf0.JF-Brazier_OIL00_Pf0_Arc2.StaticMeshComponent0
CA-Props:CA-Relief00	3	44	132	48.019	20.939	2.080	11.520	28.000	11.520	4.000	CA-Props.CA-Relief00_Pf0.CA-Relief00_Pf0_Arc0.StaticMeshComponent0
Em-Props:EM-WallLight01	3	180	540	22.191	9.002	5.470	5.470	-87.060	5.470	24.640	Em-Props.EM-WallLight01_Pf0.EM-WallLight01_Pf0_Arc2.StaticMeshComponent0;Em-Props.EM-WallLight01_Pf1.EM-WallLight01_Pf1_Arc2.StaticMeshComponent0
EM-Cover:EM-Cover_Shield_Med_I00	2	740	1480	5.364	2.144	0.320	0.320	-72.332	0.320	28.387	EM-Cover.EM-Cover_Shield_Med_I00_Pf0.EM-Cover_Shield_Med_I00_Pf0_Arc2.StaticMeshComponent0
GA-Props:GA-Fence01	2	346	692	18.157	7.254	-0.640	-0.640	-45.280	-0.640	4.000	GA-Props.GA-Fence01_Pf0.GA-Fence01_Pf0_Arc2.StaticMeshComponent0
JF-Props:JF-BrazierCenter01	2	2136	4272	96.659	37.918	0.320	0.320	-58.890	0.320	50.110	JF-Props.JF-BrazierCenter01_Pf0.JF-BrazierCenter01_Pf0_Arc0.StaticMeshComponent0
SGW_fluids:TOL-FluidPlaneCircle_Flat00	2	14	28	33.025	33.025	3.110	3.110	-43.210	3.110	50.130	JF-Props.JF-BrazierCenter01_Pf0.JF-BrazierCenter01_Pf0_Arc1.StaticMeshComponent0
Em-Props:EM-SecurityCam01_Arm	1	66	66	0.167	0.083	5.160	5.160	-64.090	5.160	21.830	Em-Props.EM-SecurityCam00_Pf0.EM-SecurityCam00_Pf0_Arc1.StaticMeshComponent0
Em-Props:EM-StandingLight01	1	1974	1974	11.609	4.147	0.320	0.320	-65.280	0.320	16.230	Em-Props.EM-StandingLight01_Pf0.EM-StandingLight01_Pf0_Arc0.StaticMeshComponent0
GA-Props:GA-WaterPump00	1	324	324	14.711	5.770	-5.360	-5.360	106.640	-5.360	63.920	GA-Props.GA-WaterPump00_Pf0.GA-WaterPump00_Pf0_Arc0.StaticMeshComponent0
