chunk	actor	mesh	bw_x	bw_y	bw_z	archetype_path
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_00	51.840	0.320	41.270	GA-Interior.GA-hallway_decor_torch_00_Pf0.GA-hallway_decor_torch_00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_00	43.240	0.320	41.270	GA-Interior.GA-hallway_decor_torch_00_Pf0.GA-hallway_decor_torch_00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_01	40.310	4.150	52.280	GA-Interior.GA-hallway_decor_torch_01_Pf0.GA-hallway_decor_torch_01_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_01	80.230	4.150	71.400	GA-Interior.GA-hallway_decor_torch_01_Pf0.GA-hallway_decor_torch_01_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_01	80.230	4.150	61.350	GA-Interior.GA-hallway_decor_torch_01_Pf0.GA-hallway_decor_torch_01_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_01	80.230	4.150	54.510	GA-Interior.GA-hallway_decor_torch_01_Pf0.GA-hallway_decor_torch_01_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_01	80.230	4.150	42.630	GA-Interior.GA-hallway_decor_torch_01_Pf0.GA-hallway_decor_torch_01_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_01	80.230	4.150	80.440	GA-Interior.GA-hallway_decor_torch_01_Pf0.GA-hallway_decor_torch_01_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_01	40.310	4.150	80.440	GA-Interior.GA-hallway_decor_torch_01_Pf0.GA-hallway_decor_torch_01_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_01	40.310	4.150	71.400	GA-Interior.GA-hallway_decor_torch_01_Pf0.GA-hallway_decor_torch_01_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_01	40.310	4.150	61.350	GA-Interior.GA-hallway_decor_torch_01_Pf0.GA-hallway_decor_torch_01_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Props:GA-PuzzleStation00	48.760	0.320	73.320	GA-Props.GA-PuzzleStation00_Pf0.GA-PuzzleStation00_Pf0_Arc1.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Props:GA-PuzzleStation00	41.760	0.320	73.320	GA-Props.GA-PuzzleStation00_Pf0.GA-PuzzleStation00_Pf0_Arc1.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Props:GA-WaterTower00	30.289	1.920	73.209	GA-Props.GA-WaterTower00_Pf0.GA-WaterTower00_Pf0_Arc1.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Props:GA-Viewscreens00	46.720	11.814	-1.655	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_00	59.900	1.770	78.800	GA-Interior.GA-hallway_decor_torch_00_Pf0.GA-hallway_decor_torch_00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_00	64.420	1.770	78.800	GA-Interior.GA-hallway_decor_torch_00_Pf0.GA-hallway_decor_torch_00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_00	57.840	0.320	68.990	GA-Interior.GA-hallway_decor_torch_00_Pf0.GA-hallway_decor_torch_00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_00	68.690	0.320	52.390	GA-Interior.GA-hallway_decor_torch_00_Pf0.GA-hallway_decor_torch_00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_00	66.770	0.320	68.990	GA-Interior.GA-hallway_decor_torch_00_Pf0.GA-hallway_decor_torch_00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	CA-Props:CA-Relief00	28.000	11.520	4.000	CA-Props.CA-Relief00_Pf0.CA-Relief00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Props:GA-Wires00	98.574	-1.249	63.157	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Props:GA-Wires00	99.840	-1.201	48.256	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000000	StaticMeshActor	GA-Interior:GA-hallway_decor_torch_00	68.690	0.320	44.430	GA-Interior.GA-hallway_decor_torch_00_Pf0.GA-hallway_decor_torch_00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000001	StaticMeshActor	GA-Props:GA-WaterPump00	106.640	-5.360	63.920	GA-Props.GA-WaterPump00_Pf0.GA-WaterPump00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000001	StaticMeshActor	GA-Props:GA-Wires00	102.399	-1.133	48.213	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
