chunk	actor	mesh	bw_x	bw_y	bw_z	archetype_path
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence00	48.040	-0.000	76.950	GA-Props.GA-Fence00_Pf0.GA-Fence00_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence00	30.740	0.000	55.650	GA-Props.GA-Fence00_Pf0.GA-Fence00_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence00	71.680	-0.000	77.410	GA-Props.GA-Fence00_Pf0.GA-Fence00_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence00	48.020	-0.000	53.710	GA-Props.GA-Fence00_Pf0.GA-Fence00_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence00	54.420	-0.000	53.750	GA-Props.GA-Fence00_Pf0.GA-Fence00_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence03	19.800	0.000	81.920	GA-Props.GA-Fence03_Pf0.GA-Fence03_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence03	19.800	0.000	51.200	GA-Props.GA-Fence03_Pf0.GA-Fence03_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence03	26.120	0.000	51.200	GA-Props.GA-Fence03_Pf0.GA-Fence03_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence03	26.120	0.000	66.560	GA-Props.GA-Fence03_Pf0.GA-Fence03_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence03	26.120	0.000	81.920	GA-Props.GA-Fence03_Pf0.GA-Fence03_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence03	76.280	-0.000	51.200	GA-Props.GA-Fence03_Pf0.GA-Fence03_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence03	82.600	-0.000	66.560	GA-Props.GA-Fence03_Pf0.GA-Fence03_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence03	76.280	-0.000	66.560	GA-Props.GA-Fence03_Pf0.GA-Fence03_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence03	76.280	-0.000	81.920	GA-Props.GA-Fence03_Pf0.GA-Fence03_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence03	58.930	-0.000	58.350	GA-Props.GA-Fence03_Pf0.GA-Fence03_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence03	58.880	-0.000	72.360	GA-Props.GA-Fence03_Pf0.GA-Fence03_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence03	43.530	-0.000	72.350	GA-Props.GA-Fence03_Pf0.GA-Fence03_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence03	37.810	-0.000	96.670	GA-Props.GA-Fence03_Pf0.GA-Fence03_Pf0_Arc1.StaticMeshComponent0
Harset_StorageRm-00000000	StaticMeshActor	GA-Props:GA-Fence03	53.590	-0.000	92.070	GA-Props.GA-Fence03_Pf0.GA-Fence03_Pf0_Arc1.StaticMeshComponent0
