mesh	instances	tris_each	tris_total	footprint_m2	walkable_m2	bw_y_min	bw_y_max	sample_bw_x	sample_bw_y	sample_bw_z	archetype_paths
GA-Props:GA-Torch00	168	54	9072	444.930	220.595	-69.280	-28.250	4.329	-69.070	34.076	GA-Props.GA-Torch00_Pf1.GA-Torch00_Pf1_Arc1.StaticMeshComponent0
GA-Props:GA-StreetLamp00	69	564	38916	171.113	55.200	-69.510	-31.040	40.329	-69.070	26.876	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0;GA-Props.GA-StreetLamp00_Pf1.GA-StreetLamp00_Pf1_Arc0.StaticMeshComponent0
JF-Props:JF-Brazier00	61	466	28426	52.085	9.060	-69.410	-30.760	-196.040	-41.290	94.140	JF-Props.JF-Brazier00_Pf0.JF-Brazier00_Pf0_Arc0.StaticMeshComponent0
GA-Props:GA-StreetLamp_Single00	55	252	13860	53.478	22.686	-67.200	-27.080	59.340	-66.990	3.007	GA-Props.GA-StreetLamp_Single00_Pf0.GA-StreetLamp_Single00_Pf0_Arc3.StaticMeshComponent0
Em-Props:EM-SandbagSingle_00	35	56	1960	71.470	27.690	-41.360	-39.758	155.648	-39.760	43.979	Em-Props.EM-SandbagI_00_Pf0.EM-SandbagI_00_Pf0_Arc0.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf0.EM-SandbagI_00_Pf0_Arc1.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf0.EM-SandbagI_00_Pf0_Arc10.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf0.EM-SandbagI_00_Pf0_Arc11.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf0.EM-SandbagI_00_Pf0_Arc2.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf0.EM-SandbagI_00_Pf0_Arc3.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf0.EM-SandbagI_00_Pf0_Arc4.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf0.EM-SandbagI_00_Pf0_Arc5.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf0.EM-SandbagI_00_Pf0_Arc6.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf0.EM-SandbagI_00_Pf0_Arc7.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf0.EM-SandbagI_00_Pf0_Arc9.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf1.EM-SandbagI_00_Pf1_Arc0.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf1.EM-SandbagI_00_Pf1_Arc1.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf1.EM-SandbagI_00_Pf1_Arc10.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf1.EM-SandbagI_00_Pf1_Arc11.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf1.EM-SandbagI_00_Pf1_Arc12.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf1.EM-SandbagI_00_Pf1_Arc2.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf1.EM-SandbagI_00_Pf1_Arc4.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf1.EM-SandbagI_00_Pf1_Arc5.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf1.EM-SandbagI_00_Pf1_Arc6.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf1.EM-SandbagI_00_Pf1_Arc7.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf1.EM-SandbagI_00_Pf1_Arc8.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf1.EM-SandbagI_00_Pf1_Arc9.StaticMeshComponent0
GA-Interior:GA-hallway_decor_torch_01	25	180	4500	114.389	48.017	-66.650	-45.130	72.427	-63.210	39.159	GA-Interior.GA-hallway_decor_torch_01_Pf0.GA-hallway_decor_torch_01_Pf0_Arc2.StaticMeshComponent0
Env-DD:DD-Palm00	23	426	9798	2886.202	1530.521	-69.520	-30.290	54.829	-69.280	64.595	Env-DD.DD-Palm00_Pf0.DD-Palm00_Pf0_Arc1.StaticMeshComponent0
Env-DD:DD-Palm01	23	300	6900	1760.964	689.536	-69.720	-30.070	52.750	-69.280	59.816	Env-DD.DD-Palm01_Pf0.DD-Palm01_Pf0_Arc1.StaticMeshComponent0
Em-Props:EM-StandingLight04	20	472	9440	163.531	50.271	-48.919	-27.410	126.740	-39.640	19.800	Em-Props.EM-StandingLight04_Pf0.EM-StandingLight04_Pf0_Arc0.StaticMeshComponent0
GA-Interior:GA-hallway_decor_torch_00	20	188	3760	75.546	30.696	-67.620	-29.420	-274.020	-50.340	32.890	GA-Interior.GA-hallway_decor_torch_00_Pf0.GA-hallway_decor_torch_00_Pf0_Arc0.StaticMeshComponent0
