chunk	actor	mesh	bw_x	bw_y	bw_z	archetype_path
Harset-00000000	StaticMeshActor	GA-Building:GA-GuardPost00	12.969	-69.070	3.516	GA-Building.GA-GuardPost00_Pf0.GA-GuardPost00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	40.329	-69.070	26.876	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	40.329	-69.070	44.556	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	61.129	-65.390	31.996	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	61.929	-65.390	39.836	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	7.449	-69.070	71.276	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	4.089	-60.270	99.276	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-Torch00	4.329	-69.070	34.076	GA-Props.GA-Torch00_Pf1.GA-Torch00_Pf1_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	94.294	-60.170	64.070	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	76.331	-60.250	55.310	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	66.361	-60.250	65.280	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	96.102	-60.250	90.812	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	76.815	-60.170	16.109	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	66.746	-60.170	5.757	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	85.591	-60.170	60.465	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	85.846	-60.170	12.341	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	94.549	-60.170	8.736	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
Harset-00000000	StaticMeshActor	GA-Props:GA-StreetLamp00	79.129	-60.270	95.196	GA-Props.GA-StreetLamp00_Pf0.GA-StreetLamp00_Pf0_Arc1.StaticMeshComponent0
