archetype,branch,node_order,unlock_level_project_v1,required_branch_points_project_v1,skill_point_cost_project_v1,ability_id,primary_prereq_ability_id,additional_prereq_ability_ids,is_branch_root,is_capstone,raw_training_cost,purchase_status,evidence,project_status
Soldier,Automatic Weapons,1,1,0,1,598,,,True,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,2,5,2,1,717,598,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,3,5,2,1,715,598,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,4,10,4,1,716,598,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,5,10,4,1,714,598,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,6,15,6,1,657,717,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,7,15,6,1,719,715,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,8,20,8,1,891,716,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,9,20,8,1,718,657,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,10,25,10,1,720,891,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,11,25,10,1,713,716,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,12,30,12,1,723,719,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,13,30,12,1,725,718,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,14,35,14,1,1474,720,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,15,35,14,1,867,725,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,16,35,14,1,722,713,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,17,40,16,1,1879,722,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,18,40,16,1,1446,723,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,19,45,18,1,1475,1879,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,20,45,18,1,1445,1446,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,21,45,18,1,1476,1474,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Automatic Weapons,22,50,20,1,1477,1476,867,False,True,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
