"address1"	"address2"	"address3"	"address4"	"address5"	"address6"	"address_origin"	"stargate_id"	"name"	"pitch"	"prefab_sequence"	"roll"	"world_id"	"x_pos"	"y_pos"	"yaw"	"z_pos"	"event_set_id"
"1"	"2"	"3"	"4"	"5"	"6"	"7"	"1"	"CombatSim"	"0"	"Combat_Terrain_Test.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"1"	"87.074997"	"1.646"	"-1.571"	"49"	
"16"	"8"	"5"	"18"	"13"	"14"	"33"	"11"	"Hebridan"	"0"	"Hebridan.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"13"	"79.559998"	"10.6"	"3.14"	"56.240002"	
"8"	"36"	"31"	"17"	"4"	"11"	"13"	"12"	"Dakara E2"	"0"	"Dakara_E2.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"63"	"96.174004"	"-15.164"	"3.072"	"253.205994"	
"8"	"36"	"31"	"17"	"4"	"12"	"13"	"13"	"Dakara E3"	"0"	"Dakara_E3.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"64"	"96.174004"	"-15.164"	"3.072"	"253.205994"	
"7"	"17"	"11"	"9"	"36"	"31"	"5"	"14"	"Pen-Lai"	"0"	""	"0"	"76"	"-104.5"	"-11.554"	"-1.57"	"128.714005"	
"14"	"24"	"20"	"36"	"19"	"35"	"16"	"16"	"Beta Site E2"	"0"	"Beta_Site_E2.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"60"	"617.866028"	"-59.313999"	"1.57"	"388.971008"	
"28"	"26"	"5"	"36"	"11"	"30"	"1"	"17"	"SGC W2"	"0"	""	"0"	"87"	"172.789993"	"-8.47"	"0"	"6.014"	
"3"	"8"	"16"	"24"	"23"	"30"	"2"	"18"	"Yotunheim"	"0"	""	"0"	"90"	"0"	"0"	"0"	"0"	
"11"	"23"	"5"	"8"	"13"	"21"	"34"	"19"	"Vitrus"	"0"	""	"0"	"11"	"0"	"0"	"0"	"0"	
"31"	"8"	"7"	"24"	"36"	"3"	"20"	"21"	"Meridian"	"0"	""	"0"	"79"	"0"	"0"	"0"	"0"	
"28"	"26"	"5"	"36"	"11"	"29"	"1"	"23"	"SGC"	"0"	"SGC.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"86"	"172.789993"	"-8.47"	"0"	"6.014"	
"28"	"26"	"5"	"36"	"11"	"29"	"1"	"24"	"Egypt"	"0"	""	"0"	"66"	"0"	"0"	"0"	"0"	
"28"	"34"	"30"	"25"	"32"	"8"	"19"	"26"	"Pertho"	"0"	""	"0"	"83"	"0"	"0"	"0"	"0"	
"23"	"7"	"14"	"16"	"17"	"13"	"8"	"28"	"Asgard High Council"	"0"	"Asgard_Hgh_Council.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"59"	"156.610001"	"143.350006"	"-1.57"	"66.239998"	
"3"	"8"	"16"	"24"	"23"	"29"	"2"	"9"	"Ihpet"	"0"	""	"0"	"74"	"0"	"0"	"0"	"0"	
"4"	"29"	"8"	"22"	"18"	"25"	"9"	"4"	"Tollana"	"0"	"Tollana.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"19"	"211.044998"	"0.606"	"-1.571"	"-547.643982"	"10012"
"21"	"17"	"24"	"31"	"10"	"30"	"6"	"3"	"Harset"	"0"	"Harset.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"57"	"-0.076"	"-67.274002"	"3.141"	"38.011002"	"25"
"17"	"27"	"10"	"7"	"25"	"31"	"26"	"10"	"Lucia"	"0"	"Lucia.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"15"	"66.718002"	"-165.574997"	"-3.12"	"-70.220001"	"10003"
"28"	"26"	"5"	"36"	"11"	"30"	"1"	"27"	"SGC W1"	"0"	"SGC_W1.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"58"	"172.789993"	"-8.47"	"0"	"6.014"	"10004"
"3"	"8"	"16"	"24"	"23"	"28"	"2"	"20"	"Ihpet Crater (SGU)"	"0"	"Ihpet_Crater_Light.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"73"	"251.25"	"10.606"	"0"	"-989.781006"	"10005"
"3"	"8"	"16"	"24"	"23"	"28"	"2"	"8"	"Ihpet Crater (Praxis)"	"0"	"Ihpet_Crater_Dark.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"72"	"251.25"	"10.606"	"0"	"-989.781006"	"10006"
"4"	"13"	"5"	"6"	"7"	"33"	"10"	"22"	"Men'fa (SGU)"	"0"	"Menfa_Light.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"78"	"-37.821999"	"-191.914001"	"0"	"395.983002"	"10007"
"4"	"13"	"5"	"6"	"7"	"33"	"10"	"7"	"Men'fa (Praxis)"	"0"	"Menfa_Dark.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"77"	"-37.821999"	"-191.914001"	"0"	"395.983002"	"10008"
"4"	"7"	"28"	"38"	"10"	"2"	"21"	"6"	"Beta Site E1"	"0"	"Beta_Site_Evo_1.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"23"	"617.866028"	"-59.313999"	"1.571"	"388.971008"	"10009"
"5"	"2"	"19"	"12"	"15"	"24"	"34"	"5"	"Omega Site"	"0"	"Omega_Site.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"18"	"34.705002"	"-50.633999"	"0"	"-149.091995"	"10010"
"3"	"22"	"4"	"20"	"9"	"7"	"18"	"2"	"The Castle"	"0"	"Castle.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"8"	"761.677002"	"63.466"	"2.152"	"551.716003"	"10011"
"8"	"36"	"31"	"17"	"4"	"10"	"13"	"25"	"Dakara E1"	"0"	"Dakara_E1.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"61"	"96.174004"	"-15.164"	"3.072"	"253.205994"	"10013"
"38"	"29"	"27"	"14"	"8"	"23"	"15"	"15"	"Agnos"	"0"	"Agnos.Main_Sequence.Prefabs.GLB-Stargate_Prefab_Seq"	"0"	"10"	"0"	"0"	"0"	"0"	"10002"
